Country,Item Type,Order Date,Order ID,Units Sold,Unit Price
France,Cosmetics,5/22/2017,898523128,,437.2
Kiribati,Fruits,10/13/2014,347140347,5398,9.33
Mali,Fruits,5/7/2010,686048400,5822,9.33
Norway,,7/18/2014,435608613,5124,47.45
The Gambia,Household,5/26/2012,,2370,
,Cosmetics,9/17/2012,249693334,8661,437.2
South Sudan,Personal Care,12/29/2013,406502997,2125,81.73
Australia,Office Supplies,10/27/2015,158535134,2924,651.21
Myanmar,Household,1/16/2015,177713572,8250,668.27
Djibouti,Snacks,2/25/2017,756274640,7327,152.58
Costa Rica,Personal Care,5/8/2017,456767165,6409,81.73
Syria,Fruits,,162052476,3784,9.33
The Gambia,Meat,1/14/2017,825304400,4767,421.89
Brunei,Office Supplies,4/1/2012,320009267,6708,651.21
Bulgaria,Office Supplies,2/16/2012,189965903,3987,651.21
Niger çç,,3/11/2017,,,81.73
Azerbaijan,Cosmetics,2/6/2010,382392299,7234,437.2
The Gambia,Cereal,6/7/2012,994022214,2117,
Slovakia,Vegetables,10/6/2012,759224212,171,154.06
,Clothes,11/14/2015,223359620,5930,109.28
Comoros,Cereal,3/29/2016,902102267,962,205.7
Iceland,Cosmetics,12/31/2016,331438481,8867,437.2
Switzerland,Personal Care,12/23/2010,617667090,273,81.73
Macedonia,Clothes,,787399423,7842,109.28
Mauritania,Office Supplies,1/11/2012,837559306,1266,651.21
