Order Date,Country,Item Type,Order ID,Units Sold,Unit Price
2016-03-29T00:00:00.000000000Z,Comoros,Cereal,902102267.0,962.0,205.7
2016-05-07T00:00:00.000000000Z,Moldova ,Personal Care,740147912.0,5070.0,81.73
2016-06-01T00:00:00.000000000Z,Sierra Leone,Vegetables,,,154.06
2016-06-30T00:00:00.000000000Z,Honduras,Snacks,795490682.0,2225.0,152.58
2016-10-23T00:00:00.000000000Z,Slovenia,Beverages,345718562.0,4660.0,47.45
2016-11-15T00:00:00.000000000Z,Iran,Cosmetics,286959302.0,6489.0,437.2
2016-11-19T00:00:00.000000000Z,Sri Lanka,,419123971.0,6952.0,437.2
2016-12-06T00:00:00.000000000Z,Sierra Leone,Office Supplies,621386563.0,948.0,651.21
2016-12-31T00:00:00.000000000Z,Iceland,Cosmetics,331438481.0,8867.0,437.2
2017-01-13T00:00:00.000000000Z,Bangladeş,Clothes,187310731.0,8263.0,109.28
2017-01-14T00:00:00.000000000Z,The Gambia,Meat,825304400.0,4767.0,421.89
2017-02-08T00:00:00.000000000Z,Honduras,Household,,,668.27
2017-02-25T00:00:00.000000000Z,Djibouti,Snacks,756274640.0,7327.0,152.58
2017-03-11T00:00:00.000000000Z,Niger çç,,,,81.73
2017-05-08T00:00:00.000000000Z,Costa Rica,Personal Care,456767165.0,6409.0,81.73
2017-05-20T00:00:00.000000000Z,Djibouti,Cereal,555990016.0,8656.0,205.7
2017-05-22T00:00:00.000000000Z,France,Cosmetics,898523128.0,,437.2
,Democratic Republic of the Congo,Beverages,585920464.0,5741.0,47.45
,United Kingdom,Household,955357205.0,282.0,668.27
,,Clothes,807025039.0,5498.0,
,Portugal,,860673511.0,1273.0,255.28
,,Office Supplies,115456712.0,5062.0,651.21
,Kenya,Vegetables,827844560.0,,154.06
,Monaco,Baby Food,,,255.28
,Romania,Cosmetics,660643374.0,7910.0,437.2
,Macedonia,Clothes,787399423.0,7842.0,109.28
,Syria,Fruits,162052476.0,3784.0,9.33
