Country,Item Type,Order Date,Order ID,Units Sold,Unit Price
Mongolia,Personal Care,2014-02-19,832401311,4901,81.73
Mozambique,Household,2012-02-10,665095412,5367,668.27
Myanmar,Household,2015-01-16,177713572,8250,668.27
New Zealand,Fruits,2014-09-08,142278373,2187,9.33
Nicaragua,Beverages,2011-02-08,963392674,8156,47.45
Niger çç,,2017-03-11,,,81.73
Norway,Baby Food,2014-05-14,,7450,255.28
Norway,,2014-07-18,435608613,5124,47.45
Pakistan,Cosmetics,2013-07-05,231145322,9892,437.2
Portugal,,,860673511,1273,255.28
Republic of the Congo,Personal Care,2015-07-14,770463311,6070,81.73
Romania,Cosmetics,,660643374,7910,437.2
Russia,Office Supplies,2014-05-02,,1779,
Rwanda,Cosmetics,2013-10-11,,,437.2
Samoa ,Cosmetics,2013-07-20,670854651,9654,437.2
San Marino,Baby Food,2013-06-26,569662845,4750,255.28
Sao Tome and Principe,Beverages,2011-01-16,180283772,8829,47.45
Sao Tome and Principe,Fruits,2013-09-17,508980977,7637,9.33
Sao Tome and Principe,Fruits,2014-06-20,514321792,,9.33
Saudi Arabia İİ,Cereal,2013-03-25,844530045,,205.7
Senegal,Cereal,2014-04-18,616607081,6593,205.7
Sierra Leone,Office Supplies,2016-12-06,621386563,948,651.21
Sierra Leone,Office Supplies,2011-11-26,,3457,651.21
