Order Date,Country,Item Type,Order ID,Units Sold,Unit Price
2012-07-17T00:00:00.000000000Z,Burkina Faso ğğ,Vegetables,,8082.0,
2012-07-31T00:00:00.000000000Z,,Meat,322067916.0,5908.0,421.89
2012-08-22T00:00:00.000000000Z,Grenada ÖÖ,Cereal,963881480.0,2804.0,205.7
2012-09-17T00:00:00.000000000Z,,Cosmetics,249693334.0,8661.0,437.2
2012-09-18T00:00:00.000000000Z,Lebanon,Clothes,,7884.0,
2012-10-06T00:00:00.000000000Z,Slovakia,Vegetables,759224212.0,171.0,154.06
2012-10-21T00:00:00.000000000Z,,,213487374.0,4513.0,668.27
2013-03-25T00:00:00.000000000Z,Saudi Arabia İİ,Cereal,844530045.0,,205.7
2013-04-23T00:00:00.000000000Z,Türkmenistan,Office Supplies,462405812.0,5010.0,651.21
2013-06-09T00:00:00.000000000Z,Australia,Cereal,450563752.0,682.0,205.7
2013-06-26T00:00:00.000000000Z,San Marino,Baby Food,569662845.0,4750.0,255.28
2013-07-05T00:00:00.000000000Z,Pakistan,Cosmetics,231145322.0,9892.0,437.2
2013-07-20T00:00:00.000000000Z,Samoa ,Cosmetics,670854651.0,9654.0,437.2
2013-08-18T00:00:00.000000000Z,Lesotho,Fruits,918419539.0,9606.0,9.33
2013-09-17T00:00:00.000000000Z,Sao Tome and Principe,Fruits,508980977.0,7637.0,9.33
2013-10-11T00:00:00.000000000Z,Rwanda,Cosmetics,,,437.2
2013-10-13T00:00:00.000000000Z,Haiti,Cosmetics,505716836.0,1705.0,437.2
2013-12-29T00:00:00.000000000Z,South Sudan,Personal Care,406502997.0,2125.0,81.73
2014-02-03T00:00:00.000000000Z,The Gambia,Baby Food,494747245.0,5559.0,255.28
