Country,Item Type,Order Date,Order ID,Units Sold,Unit Price
Albania,,2010-02-02,385383069,2269,109.28
Angola,Household,2011-04-23,,4187,668.27
Australia,Cereal,2013-06-09,450563752,682,205.7
Australia,Office Supplies,2015-10-27,158535134,2924,651.21
Australia ÖÖ,Beverages,2014-07-07,240470397,9389,47.45
Azerbaijan,Cosmetics,2010-02-06,382392299,7234,437.2
Azerbaijan,,2012-06-13,423331391,2021,
Bangladeş,Clothes,2017-01-13,187310731,8263,109.28
Brunei,Office Supplies,2012-04-01,320009267,6708,651.21
Bulgaria,Clothes,2012-04-23,972292029,1673,
Bulgaria,Office Supplies,2012-02-16,189965903,3987,651.21
Burkina Faso ğğ,Vegetables,2012-07-17,,8082,
Cameroon,Beverages,2015-04-01,519820964,5430,47.45
Cameroon,Office Supplies,2011-11-07,177636754,5518,651.21
Cape Verde,Clothes,2014-08-02,939825713,4168,109.28
Comoros,Cereal,2016-03-29,902102267,962,205.7
Costa Rica,Personal Care,2017-05-08,456767165,6409,81.73
Cote d'Ivoire,Clothes,2012-06-08,114606559,3482,
Democratic Republic of the Congo,Beverages,,585920464,5741,47.45
Djibouti,Cereal,2017-05-20,555990016,8656,205.7
Djibouti,Cosmetics,2014-04-07,259353148,7215,437.2
Djibouti,Snacks,2017-02-25,756274640,7327,152.58
Federated States of Micronesia,Beverages,2014-10-28,217221009,9379,47.45
Fiji,,2010-06-30,647876489,9905,109.28
France,Cosmetics,2017-05-22,898523128,,437.2
Gabon ÜÜ,Personal Care,2012-07-08,228944623,8656,81.73
Grenada ÖÖ,Cereal,2012-08-22,963881480,2804,205.7
Haiti,Cosmetics,2013-10-13,505716836,1705,437.2
Honduras,Household,2017-02-08,,,668.27
