Country,Item Type,Order Date,Order ID,Units Sold,Unit Price
Sierra Leone,Vegetables,2016-06-01,,,154.06
Slovakia,Vegetables,2012-10-06,759224212,171,154.06
Slovenia,Beverages,2016-10-23,345718562,4660,47.45
Solomon Islands,Baby Food,2015-02-04,547995746,2974,255.28
South Sudan,Personal Care,2013-12-29,406502997,2125,81.73
Sri Lanka,,2016-11-19,419123971,6952,437.2
Switzerland,Personal Care,2010-12-23,617667090,273,81.73
Syria,Fruits,,162052476,3784,9.33
The Gambia,Baby Food,2014-02-03,494747245,5559,255.28
The Gambia,Cereal,2012-06-07,994022214,2117,
The Gambia,Household,2012-05-26,,2370,
The Gambia,Meat,2017-01-14,825304400,4767,421.89
Tuvalu ÇÇ,Baby Food,2010-05-28,669165933,9925,255.28
Türkmenistan,Office Supplies,2013-04-23,462405812,5010,651.21
Türkmenistan şş,Household,2010-12-30,441619336,3830,668.27
United Kingdom,Household,,955357205,282,668.27
Zambia,Snacks,2011-01-04,122583663,4085,152.58
,Clothes,,807025039,5498,
,Clothes,2011-07-26,512878119,888,109.28
,Clothes,2015-11-14,223359620,5930,109.28
,Cosmetics,2015-02-23,868214595,2847,437.2
,Cosmetics,2012-09-17,249693334,8661,437.2
,Meat,2012-07-31,322067916,5908,421.89
,Office Supplies,,115456712,5062,651.21
,,2012-10-21,213487374,4513,668.27
