Country,Item Type,Order Date,Order ID,Units Sold,Unit Price
Mexico ŞŞ ,Household,11/6/2014,986435210,6954,668.27
Federated States of Micronesia,Beverages,10/28/2014,217221009,9379,47.45
Laos,Vegetables,9/15/2011,789176547,3732,154.06
Monaco,Baby Food,,,,255.28
Samoa ,Cosmetics,7/20/2013,670854651,9654,437.2
,,10/21/2012,213487374,4513,668.27
Lebanon,Clothes,9/18/2012,,7884,
Iran,Cosmetics,11/15/2016,286959302,6489,437.2
Zambia,Snacks,1/4/2011,122583663,4085,152.58
Kenya,Vegetables,,827844560,,154.06
Mexico,,2/17/2012,430915820,6422,81.73
Sao Tome and Principe,Beverages,1/16/2011,180283772,8829,47.45
The Gambia,Baby Food,2/3/2014,494747245,5559,255.28
Kuwait,Fruits,4/30/2012,,,9.33
Slovenia,Beverages,10/23/2016,345718562,4660,47.45
Sierra Leone,Office Supplies,12/6/2016,621386563,948,651.21
Australia ÖÖ,Beverages,7/7/2014,240470397,9389,47.45
Azerbaijan,,6/13/2012,423331391,2021,
Romania,Cosmetics,,660643374,7910,437.2
Nicaragua,Beverages,2/8/2011,963392674,8156,47.45
,Clothes,7/26/2011,512878119,888,109.28
Malaysia,,11/11/2011,810711038,6267,9.33
Sierra Leone,Vegetables,6/1/2016,,,154.06
Mexico ŞŞ,Personal Care,7/30/2015,559427106,5767,81.73
Mozambique,Household,2/10/2012,665095412,5367,668.27
