0,1
25,0.479000
41,0.519000
12,0.813000
33,0.318000
14,0.193000
43,0.266000
3,0.172000
45,0.898000
19,0.422000
47,0.644000
72,0.643000
20,0.030000
18,0.525000
69,0.525000
10,0.177000
57,0.153000
22,0.696000
47,0.696000
26,0.914000
39,0.370000
26,0.631000
55,0.314000
31,0.862000
18,0.200000
77,0.343000
21,0.562000
19,0.157000
9,0.515000
7,0.240000
43,0.610000
37,0.587000
3,0.993000
45,0.375000
20,0.423000
68,0.291000
69,0.957000
10,0.438000
10,0.863000
35,0.110000
47,0.588000
2,0.552000
63,0.676000
