city,state_id,population
Adamsville,PA,57
Ackworth,IA,105
Addington,OK,107
Acme,WA,108
Addy,WA,130
Adamsburg,PA,162
Aberdeen Gardens,WA,337
Adams,OR,357
Abbottstown,PA,1026
Adams Center,NY,1385
Ackley,IA,1498
Ada,MN,1563
Adamstown,PA,1880
Aceitunas,PR,1890
Acres Green,CO,3100
Aaronsburg,PA,487
Achille,OK,540
Accord,NY,560
Ackermanville,PA,632
Addison,WV,663
Adair,IA,713
Adams,MN,790
Adair,OK,811
Adair Village,OR,874
Accoville,WV,980
Abbeville,SC,5019
Adel,IA,5455
Aberdeen,NC,7988
Absecon,NJ,8818
Ada,OK,17840
Aberdeen,WA,29609
