0,1
37,0.491000
69,0.133000
57,0.816000
1,0.868000
1,0.699000
19,0.640000
18,0.525000
71,0.040000
34,0.859000
40,0.932000
10,0.177000
42,0.184000
13,0.201000
13,0.095000
47,0.644000
47,0.696000
70,0.504000
39,0.370000
25,0.479000
26,0.394000
65,0.002000
77,0.078000
56,0.559000
27,0.815000
48,0.391000
2,0.552000
11,0.990000
1,0.123000
1,0.739000
29,0.578000
68,0.291000
15,0.263000
19,0.677000
35,0.110000
55,0.314000
34,0.907000
10,0.863000
10,0.438000
6,0.266000
31,0.862000
29,0.979000
47,0.588000
18,0.200000
28,0.684000
9,0.515000
73,0.416000
70,0.564000
14,0.250000
