city,state_id,population
Abbott,TX,369
Adelphi,OH,375
Acacia Villas,FL,381
Abbeville,MS,423
Abrams,WI,461
Accomac,VA,485
Aaronsburg,PA,487
Adell,WI,512
Achille,OK,540
Accord,NY,560
Acomita Lake,NM,574
Addison,MI,583
Adams,NE,617
Ackermanville,PA,632
Addison,WV,663
Adams,TN,671
Adair,IA,713
Addison,AL,718
Adams,MN,790
Adair,OK,811
Adair Village,OR,874
Adairville,KY,885
Adelino,NM,919
Addyston,OH,936
Accoville,WV,980
Advance,MI,391
Akiak,AK,394
Akeley,MN,443
Aguilar,CO,480
Adell,WI,512
Advance,IN,514
Ailey,GA,536
Akiachak,AK,573
Ainsworth,IA,579
Addison,MI,583
Akins,OK,586
Adams,NE,617
Agency,IA,643
Agency,MO,660
Addison,WV,663
Adrian,GA,668
Adams,TN,671
Adena,OH,704
Adair,IA,713
Addison,AL,718
Adams,MN,790
Aguanga,CA,805
Adair,OK,811
Afton,IA,815
Airport Drive,MO,868
Adair Village,OR,874
Adairville,KY,885
Aguila,AZ,888
Adelino,NM,919
Addyston,OH,936
