lt-0,lt-1,rt-2,rt-3
1,0.699000,1,0.018000
1,0.699000,1,0.123000
1,0.699000,1,0.739000
1,0.868000,1,0.018000
1,0.868000,1,0.123000
1,0.868000,1,0.739000
10,0.177000,10,0.863000
10,0.177000,10,0.438000
10,0.808000,10,0.863000
10,0.808000,10,0.438000
18,0.996000,18,0.200000
18,0.525000,18,0.200000
27,0.034000,27,0.815000
29,0.291000,29,0.979000
29,0.291000,29,0.979000
29,0.291000,29,0.578000
29,0.291000,29,0.979000
29,0.291000,29,0.979000
29,0.291000,29,0.578000
43,0.266000,43,0.610000
43,0.419000,43,0.610000
61,0.685000,61,0.685000
66,0.104000,66,0.599000
66,0.104000,66,0.678000
69,0.525000,69,0.957000
69,0.133000,69,0.957000
