city,state_id,population
Adamsville,PA,57
Abie,NE,65
Adeline,IL,80
Abbyville,KS,85
Ackworth,IA,105
Addington,OK,107
Acme,WA,108
Adams,ND,119
Adamsville,OH,124
Addy,WA,130
Acequia,ID,133
Abiquiu,NM,151
Ada,KS,160
Adamsburg,PA,162
Abanda,AL,176
Acampo,CA,204
Adair,IL,205
Ackerly,TX,232
Addieville,IL,238
Abercrombie,ND,249
Abeytas,NM,293
Accident,MD,312
Adak,AK,326
Aberdeen Gardens,WA,337
Adams,OR,357
Airport Heights,TX,22
Akaska,SD,47
Adamsville,PA,57
Agenda,KS,66
Akhiok,AK,68
Adeline,IL,80
Agar,SD,80
Addington,OK,107
Adams,ND,119
Adamsville,OH,124
Addy,WA,130
Ahmeek,MI,144
Admire,KS,152
Adamsburg,PA,162
Adrian,TX,170
Adin,CA,171
Adrian,OR,173
Adair,IL,205
Adona,AR,206
Addieville,IL,238
Agra,KS,241
Agency Village,SD,242
Airport Road Addition,TX,279
Adak,AK,326
Akron,AL,328
Agra,OK,344
Adams,OR,357
Ages,KY,367
Akron,MI,375
Adelphi,OH,375
