city,state_id,population
Abbyville,KS,85
Aberdeen,MD,16019
Abeytas,NM,293
Abilene,TX,123420
Abita Springs,LA,2614
Abrams,WI,461
Absarokee,MT,1061
Acalanes Ridge,CA,1134
Accoville,WV,980
Acme,WA,108
Adair,OK,811
Adams,NE,617
Adams Center,NY,1385
Adamstown,PA,1880
Addison,AL,718
Adel,GA,6989
Adel,IA,5455
Adelanto,CA,34049
Admire,KS,152
Advance,MI,391
Advance,MO,1336
Advance,NC,1158
Adwolf,VA,1573
Afton,MN,3028
Afton,OK,1020
Agar,SD,80
Agency,MO,660
Agenda,KS,66
Agua Fria,NM,2734
Aguas Buenas,PR,3446
Aguas Claras,PR,2266
Aguilar,CO,480
Aiea,HI,9638
Aiken,SC,30869
Ailey,GA,536
Ainsworth,IA,579
Akiak,AK,394
Akron,IA,1463
Akron,NY,2969
Akron,OH,565208
