0,1,0,1
1,0.868000,1,0.018000
3,0.025000,3,0.025000
3,0.025000,3,0.993000
7,0.232000,7,0.240000
13,0.201000,13,0.377000
13,0.085000,13,0.377000
19,0.422000,19,0.157000
19,0.422000,19,0.440000
21,0.853000,21,0.562000
29,0.291000,29,0.578000
29,0.291000,29,0.979000
29,0.291000,29,0.979000
29,0.291000,29,0.578000
29,0.291000,29,0.979000
29,0.291000,29,0.979000
31,0.122000,31,0.862000
31,0.122000,31,0.862000
37,0.491000,37,0.587000
37,0.834000,37,0.587000
43,0.419000,43,0.610000
57,0.153000,57,0.314000
57,0.314000,57,0.314000
59,0.837000,59,0.239000
61,0.685000,61,0.685000
