l_0,l_1,r_0,r_1
3,0.172000,3,0.993000
3,0.172000,3,0.025000
3,0.025000,3,0.993000
3,0.025000,3,0.025000
7,0.232000,7,0.240000
11,nan,11,0.817000
11,nan,11,0.990000
19,0.640000,19,0.677000
19,0.640000,19,0.157000
19,0.640000,19,0.440000
19,0.619000,19,0.677000
19,0.619000,19,0.157000
19,0.619000,19,0.440000
19,0.422000,19,0.677000
19,0.422000,19,0.157000
19,0.422000,19,0.440000
27,0.034000,27,0.815000
31,0.099000,31,0.862000
31,0.099000,31,0.862000
31,0.122000,31,0.862000
31,0.122000,31,0.862000
35,0.436000,35,0.209000
35,0.436000,35,0.110000
43,0.266000,43,0.610000
43,0.419000,43,0.610000
47,0.696000,47,0.588000
47,0.644000,47,0.588000
59,0.837000,59,0.239000
67,0.086000,67,0.621000
67,0.407000,67,0.621000
