city,state_id,population
Aaronsburg,PA,487
Abbeville,AL,2560
Abercrombie,ND,249
Aberdeen,NC,7988
Aberdeen,OH,1604
Abie,NE,65
Absecon,NJ,8818
Accident,MD,312
Ackworth,IA,105
Acton,CA,7232
Acworth,GA,22818
Ada,OH,5544
Ada,OK,17840
Adair,IA,713
Adair,IL,205
Adams,OR,357
Adams,WI,1893
Adamsville,AL,4281
Adamsville,TN,2164
Addington,OK,107
Addis,LA,6221
Addison,IL,36482
Addison,WV,663
Addy,WA,130
Adelino,NM,919
Adelphi,MD,16377
Adrian,GA,668
Adrian,MO,1597
Afton,IA,815
Afton,WY,2041
Agua Dulce,TX,3268
Aguada,PR,2812
Aguila,AZ,888
Ahtanum,WA,3356
Ahuimanu,HI,8023
Ahwahnee,CA,2513
Aibonito,PR,7820
Ainsworth,NE,1620
Airport Heights,TX,22
Aitkin,MN,1985
Akaska,SD,47
Akron,CO,1723
Akutan,AK,1041
